id,name,authors,original_price,price,categories,all_time_quantity_sold,rating_average,review_count,pages,manuafacture
34751670,Ngụ Ngôn Song Ngữ Anh - Việt: Đôi Sừng Hươu (Tái Bản 2019),Yên Bình,32000,19200,Sách tiếng Việt,445,5,35,,Nhà Xuất Bản Phụ Nữ
1029852,Tuần Của Bé - Bé Thân Thiện (Dành Cho Trẻ 3 - 6 Tuổi),Minh Tâm,23000,23000,Sách tiếng Việt,420,5,42,24.00,Nhà Xuất Bản Mỹ Thuật
91343895,Những Sự Thật Về Ung Thư - Hiểu Thêm Để Bớt Lo,David Khayat,105000,72400,Sách Y Học Hiện Đại,176,5,28,200.00,Nhà Xuất Bản Thế Giới
41556498,"Tác Phẩm Kinh Điển: Thiên Tài Bên Trái, Kẻ Điên Bên Phải / Sách Văn Học Hay (Tặng Kèm Bookmark Thiết Kế Bookmark Happy Life)",Cao Minh,179000,152150,Truyện ngắn - Tản văn - Tạp Văn Việt Nam,8,5,1,,Nhà Xuất Bản Thế Giới
22881827,Complete IELTS B1 Student's Book with answer with CD-ROM,Mark Harrison,279000,259500,English Books,2625,4.8,483,198.00,CAMBRIDGE
182735416,Pet Sematary - Nghĩa địa thú cưng - 1980books,,299000,254150,Truyện kinh dị,,0,0,592.00,Nhà Xuất Bản Thanh Niên
186290800,Đón Ngọn Triều Dâng,Agatha Christie,130000,104000,Truyện trinh thám,546,5,87,320.00,NXB Trẻ
193897108,"Trái Tim Kẻ Phản Bội, Tập 1 + Tập 2",Mary E. Pearson,226000,156000,Tiểu Thuyết Phương Tây,151,5,35,616.00,Nhà Xuất Bản Văn Học
4319337,Tạo Dựng Thương Hiệu Cá Nhân,Yamamoto Hideyuki,109000,87000,Sách kỹ năng làm việc,6,0,0,200.00,Nhà Xuất Bản Thế Giới
148802195,How We’Re F***Ing Up Our Planet - Ta Đang Hủy Diệt Trái Đất Như Thế Nào,Tony Juniper,330000,248000,Kiến Thức Bách Khoa,376,4.8,58,234.00,Nhà Xuất Bản Thế Giới
186578233,Trúc thư dao 2 (Nước Tấn - Gió nổi cung đình),Văn Giản Tử,219000,175000,Truyện ngôn tình,,0,0,648.00,Nhà Xuất Bản Hà Nội
8128223,Lột xác để trở thành nhà đầu tư giá trị - The education of a value investor,Guy Spier,268000,268000,Đầu tư,6182,4.8,837,252.00,Nhà Xuất Bản Thế Giới
154245459,Nghiền Từ Vựng Tiếng Anh - Học Qua Gốc Từ Bằng Hình Ảnh - Gốc Từ Là Bí Quyết Để Ghi Nhớ Hàng Nghìn Từ Vựng - Quyển 1,Kenji Shimizu,135000,95100,Từ Vựng Tiếng Anh,538,4.8,63,288.00,Nhà Xuất Bản Hà Nội
185435297,Tiệm Cắt Tóc Lúc Nửa Đêm,Kousuke Sawamura,116000,83400,Truyện dài,370,4.8,59,296.00,Nhà Xuất Bản Thanh Niên
